can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,predicted_points
True,False,100.0,100.0,184029,0,0,-3,3,0,3,7.8,1.5,7,330,0,13,False,174,126,82,145,3.9,False,761,5.7,False,,0,1,3,1245059,0,2244119,0,0,14.1,776,161.0,275,347,False,145,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493,198.8,26,4.85,6.68,11.53,22.16,0,0,0,0,0,0,0,128,48,7,7,66,42,32,25,3.0,,1.0,,2.0,,0.19,0.0,0.26,0.45,0.86,0.81,12,9,793,339,58,28,64,19,1.01,0.43,137.3683630952381
True,False,100.0,100.0,154561,0,0,1,-1,3,1,4.8,1.5,2,109,0,15,False,174,320,56,89,3.7,False,565,32.6,False,,0,1,3,4184559,0,3511572,0,0,25.4,603,200.0,70,301,False,89,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0,76.7,38,0.0,0.03,0.03,35.03,0,0,0,0,0,0,0,43,11,458,12,796,82,212,11,,,,,,,0.0,2.26,0.0,0.0,0.92,0.89,101,1,704,82,73,12,6,1,1.0,0.34,137.7621111111111
True,False,100.0,100.0,204480,0,0,-2,2,1,3,8.2,1.5,2,112,0,16,False,174,558,63,191,3.6,False,571,4.2,False,,0,1,3,593806,0,823007,0,0,20.2,611,241.0,214,273,False,191,2823,4,7,11,29,0,0,0,5,1,0,17,627,733.0,959.6,399,208.8,33,3.51,5.64,9.14,27.13,0,0,0,0,0,0,0,50,12,9,9,86,56,24,19,2.0,,2.0,,,,0.11,0.0,0.18,0.29,0.86,0.92,54,28,753,321,85,39,91,27,1.05,0.35,125.93403108003108
True,False,100.0,100.0,223340,0,0,4,-4,4,3,3.8,1.5,1,64,0,17,False,174,478,104,268,5.1,False,586,20.2,False,,0,1,3,8222595,0,9344351,0,0,12.2,626,241.0,371,90,False,268,1724,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830,227.9,20,6.87,7.78,14.65,17.72,0,0,0,0,0,0,0,98,37,18,15,23,13,14,10,1.0,,,,1.0,,0.36,0.0,0.41,0.77,0.93,1.1,4,3,801,345,11,6,15,5,1.04,0.37,139.67855357142855
True,False,0.0,0.0,462424,0,0,4,-4,3,2,0.0,0.0,0,519,0,18,False,13,572,64,441,3.7,False,588,25.8,False,,2,1,3,4071193,0,5556474,0,0,20.3,627,73.0,325,479,False,441,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116,94.2,35,2.42,1.28,3.7,30.32,0,0,0,0,0,0,0,68,27,246,66,257,72,159,42,,,,,,,0.07,0.0,0.04,0.11,0.9,0.86,50,4,756,265,76,12,10,2,1.04,0.36,130.06844642857143
True,False,100.0,100.0,167199,0,0,-1,1,0,3,3.8,1.5,2,480,0,20,False,174,489,49,110,3.1,False,540,0.7,False,,0,1,3,307818,0,289781,0,0,22.0,690,81.0,89,261,False,110,2793,4,3,9,30,0,0,0,4,0,0,8,567,626.6,377.9,223,123.2,31,2.27,2.64,4.91,30.83,0,0,0,0,0,0,0,85,31,109,80,157,100,109,69,,,,,,,0.07,0.0,0.09,0.16,0.99,0.97,245,155,535,174,137,61,238,76,1.0,0.29,106.66907813714062
True,False,100.0,100.0,192895,0,0,-2,2,1,2,2.2,1.5,10,282,0,21,False,174,31,43,155,2.1,False,662,0.1,False,,0,1,3,16286,0,13951,0,0,6.3,692,243.0,121,85,False,155,250,1,0,1,1,0,0,0,0,0,0,2,99,91.8,109.1,48,25.0,2,0.38,0.54,0.92,2.69,0,0,0,0,0,0,0,405,146,287,85,343,115,377,127,,,,,,,0.14,0.0,0.19,0.33,0.97,0.36,570,117,220,143,265,84,470,164,0.72,0.36,27.87090873015873
True,False,0.0,0.0,223723,0,0,-2,2,0,2,0.0,0.0,0,487,0,22,False,28,151,48,271,1.0,False,651,0.0,False,,2,1,3,2219,0,8129,0,0,0.2,696,108.0,406,93,False,271,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9,1.0,0,0.18,0.0,0.18,0.04,0,0,0,0,0,0,0,547,194,516,190,436,158,525,184,,,,,,,2.7,0.0,0.0,2.7,0.6,0.0,300,37,509,231,516,177,599,207,0.0,0.0,1.0
True,False,100.0,100.0,116216,0,0,-3,3,2,3,5.5,1.5,4,295,0,23,False,174,559,67,54,4.0,False,678,4.5,False,,0,1,3,1341936,0,1105621,0,0,22.7,705,21.0,264,75,False,54,2546,8,8,11,27,0,0,0,2,1,0,18,561,609.0,617.6,798,202.1,28,6.74,4.12,10.86,24.76,0,0,0,0,0,0,0,95,34,54,45,25,14,29,23,4.0,,,,4.0,,0.24,0.0,0.15,0.39,0.88,0.95,39,18,769,331,47,24,84,25,0.99,0.39,146.88537286324788
True,False,100.0,100.0,198869,0,0,-3,3,0,2,4.2,1.5,5,49,0,24,False,174,490,62,170,2.9,False,711,4.4,False,,0,1,3,431657,0,1011245,0,0,8.1,744,241.0,391,152,False,170,1195,0,2,5,13,0,0,0,2,0,0,0,211,247.6,162.6,100,51.0,13,0.46,1.3,1.76,16.88,0,0,0,0,0,0,0,274,103,237,59,276,82,291,88,,,,,,,0.03,0.0,0.1,0.13,1.27,0.98,57,5,740,264,158,44,87,31,0.98,0.38,48.22880011655012
True,False,100.0,100.0,206325,0,0,-2,2,1,2,2.2,1.5,2,394,0,25,False,174,201,48,202,2.7,False,737,0.9,False,,0,1,3,110618,0,323972,0,0,8.3,770,225.0,293,306,False,202,518,0,1,4,1,0,0,0,1,0,0,2,141,83.4,92.8,66,24.1,5,0.65,0.52,1.17,3.21,0,0,0,0,0,0,0,411,148,309,95,317,99,382,130,,,,,,,0.11,0.0,0.09,0.2,0.56,0.17,296,35,505,229,185,56,214,82,0.87,0.69,40.76767316017317
True,False,100.0,100.0,69752,0,0,-4,4,0,1,1.5,1.5,0,384,0,73,False,174,513,41,765,3.5,False,486,0.7,False,,0,1,3,92955,0,261168,0,0,1.7,537,30.0,397,380,False,765,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0,7.8,2,0.0,0.0,0.0,2.91,0,0,0,0,0,0,0,417,36,649,66,612,47,460,36,,,,,,,0.0,5.5,0.0,0.0,1.46,1.0,626,35,171,45,88,15,243,33,1.0,0.0,7.37
True,False,100.0,100.0,103955,0,0,-3,3,0,3,1.8,1.5,2,417,0,186,False,174,436,67,28,1.5,False,640,0.8,False,,0,1,3,56881,0,165293,0,0,3.9,672,241.0,397,153,False,28,490,0,2,1,4,0,0,0,1,0,0,0,64,67.2,125.5,122,31.3,7,1.43,0.48,1.91,4.33,0,0,0,0,0,0,0,423,195,271,167,248,139,360,180,,,3.0,,,,0.26,0.0,0.09,0.35,0.8,0.73,38,17,768,330,393,186,224,72,1.29,0.18,24.805
True,False,100.0,100.0,466075,0,0,-2,2,1,2,2.2,1.5,0,429,0,578,False,174,448,58,456,2.1,False,112,1.5,False,,0,1,3,285601,0,425538,0,0,6.7,121,106.0,380,378,False,456,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176,54.6,11,0.86,0.69,1.55,10.28,0,0,0,0,0,0,0,271,101,277,78,201,40,283,84,,,,,,,0.08,0.0,0.06,0.14,0.95,1.1,91,8,714,262,286,90,159,63,1.01,0.09,34.781693627450984
True,False,100.0,100.0,499169,0,0,0,0,0,3,3.5,1.5,1,369,0,597,False,174,411,45,542,1.6,False,397,0.4,False,,0,1,3,115370,0,79089,0,0,8.2,429,241.0,75,528,False,542,1362,1,0,5,16,0,0,0,3,2,0,0,237,176.0,170.7,57,40.0,15,0.16,0.51,0.67,16.65,0,0,0,0,0,0,0,333,151,230,150,327,179,324,164,,,,,,,0.01,0.0,0.03,0.04,1.1,1.06,423,263,372,67,369,170,277,85,0.99,0.33,39.23455390442891
True,False,100.0,100.0,195384,0,0,0,0,1,3,3.2,1.5,2,355,0,633,False,174,564,60,162,3.3,False,458,1.5,False,,0,1,3,677828,0,522817,0,0,15.3,492,200.0,350,443,False,162,1575,7,2,4,17,0,0,0,2,1,0,8,326,456.8,265.8,511,123.3,17,5.75,1.18,6.93,15.71,0,0,0,0,0,0,0,157,60,164,114,61,40,108,68,,,,,,,0.33,0.0,0.07,0.4,0.9,0.97,76,48,728,299,118,53,164,52,0.97,0.23,89.5120488053613
True,False,,,498046,0,0,0,0,0,3,1.5,1.5,0,448,0,638,False,174,603,45,540,0.0,False,533,0.0,False,,0,1,3,2791,0,2341,0,0,0.0,568,152.0,330,405,False,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,722,292,719,292,700,283,722,292,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,422,262,371,66,727,293,675,276,0.0,0.0,0.0
True,False,,,551221,0,0,0,0,0,1,1.5,1.5,0,488,0,639,False,174,603,45,658,0.0,False,612,0.1,False,,0,1,3,4526,0,4943,0,0,0.0,645,241.0,319,255,False,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,748,82,744,80,728,71,748,82,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,460,19,409,69,752,82,533,69,0.0,0.0,0.0
True,False,0.0,0.0,588793,0,0,0,0,0,2,0.0,0.0,0,317,0,657,False,56,359,40,703,0.0,False,348,0.0,False,,4,1,3,11257,0,10392,0,0,0.0,381,2.0,201,618,False,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,645,239,633,238,594,229,645,239,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,712,219,151,89,652,238,551,192,0.0,0.0,0.0
True,False,,,588796,0,0,0,0,0,3,1.5,1.5,0,201,0,659,False,174,603,45,704,0.0,False,346,0.0,False,,0,1,3,3033,0,2565,0,0,0.0,379,152.0,201,205,False,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,759,320,756,320,739,312,759,320,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,474,300,423,104,762,321,676,277,0.0,0.0,0.0
True,False,,,499167,0,0,0,0,0,2,1.5,1.5,0,251,0,662,False,174,603,40,541,0.0,False,502,0.1,False,,0,1,3,7424,0,5568,0,0,0.0,538,241.0,319,525,False,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,621,219,608,217,567,206,621,219,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,678,189,117,59,628,218,528,185,0.0,0.0,0.0
True,False,,,461025,0,0,0,0,0,4,1.5,1.5,0,372,0,665,False,174,603,45,430,1.0,False,106,0.2,False,,0,1,3,59288,0,48771,0,0,0.2,112,241.0,248,60,False,430,6,0,0,0,0,0,0,0,0,0,0,0,5,3.0,0.0,17,2.0,0,0.07,0.0,0.07,0.04,0,0,0,0,0,0,0,531,55,701,61,411,54,509,56,,,,,,,1.05,0.0,0.0,1.05,0.6,0.0,397,66,346,7,492,51,386,62,0.0,0.0,1.0
True,False,,,100051017,0,0,0,0,0,5,6.5,1.5,8,355,0,735,False,174,603,15,16,0.0,False,42,9.0,False,,0,1,3,247297,0,159775,0,0,69.3,49,200.0,300,516,False,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,8,6,2,0,0,6,26,569,19,547,19,498,19,569,19,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,788,4,19,19,579,19,369,2,0.0,0.0,102.27589916552746
True,False,,,616059,0,0,0,0,0,1,1.5,1.5,0,205,0,756,False,174,603,40,747,0.0,False,555,0.0,False,,0,1,3,1928,0,1018,0,0,0.0,593,241.0,248,300,False,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,657,76,645,65,607,46,657,76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,726,61,165,44,664,76,690,74,0.0,0.0,0.0
True,False,,,538182,0,0,0,0,0,3,1.5,1.5,0,239,0,790,False,174,603,45,632,0.0,False,265,0.0,False,,0,1,3,113,0,50,0,0,0.0,279,241.0,319,14,False,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,741,307,737,307,721,299,741,307,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,452,285,401,89,745,308,795,343,0.0,0.0,0.0
True,False,,,514307,0,0,0,0,0,3,1.5,1.5,0,205,0,793,False,174,603,45,584,0.0,False,300,0.0,False,,0,1,3,78,0,28,0,0,0.0,356,104.0,172,464,False,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,726,295,722,295,704,286,726,295,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,430,268,379,72,730,296,797,344,0.0,0.0,0.0
True,False,,,563324,0,0,0,0,0,2,1.5,1.5,0,60,0,801,False,174,603,40,670,0.0,False,138,0.0,False,,0,1,3,199,0,38,0,0,0.0,148,244.0,43,48,False,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,640,236,628,235,589,226,640,236,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,705,214,144,84,647,235,781,264,0.0,0.0,0.0
True,False,100.0,100.0,215711,0,0,-3,3,0,3,0.3,0.0,0,298,0,28,False,174,459,62,238,2.0,False,52,0.8,False,,0,2,7,186480,0,472952,0,0,7.6,60,107.0,72,167,False,238,1132,1,2,2,19,0,0,0,3,0,0,2,174,146.4,235.8,325,70.3,14,1.73,2.92,4.65,13.91,0,0,0,0,0,0,0,357,162,184,126,104,68,232,118,3.0,,4.0,,,,0.14,0.0,0.23,0.37,1.11,1.51,60,33,743,312,305,138,233,75,1.11,0.16,44.60101007326008
True,False,100.0,100.0,88894,0,0,-3,3,1,3,0.7,0.0,1,442,0,29,False,174,260,52,788,2.2,False,58,0.2,False,,0,2,7,26756,0,91758,0,0,8.5,65,241.0,21,94,False,788,567,3,1,1,10,0,0,0,3,0,0,5,166,215.4,128.1,206,54.8,3,1.79,0.43,2.22,6.32,0,0,0,0,0,0,0,295,136,268,166,173,110,280,147,,,,,,,0.28,0.0,0.07,0.35,1.0,1.59,163,97,632,244,262,113,341,108,0.48,0.16,44.275239898989895
True,False,0.0,0.0,491287,0,0,-1,1,0,3,0.0,0.0,0,143,0,30,False,100,104,49,515,0.0,False,60,0.0,False,,4,2,7,872,0,5339,0,0,0.0,67,,409,618,False,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,779,333,777,333,768,331,779,333,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,273,175,563,194,779,333,669,274,0.0,0.0,0.0
True,False,0.0,0.0,195546,0,0,-4,4,0,3,0.0,0.0,0,138,0,31,False,47,338,51,163,0.9,False,99,0.1,False,,4,2,7,6966,0,17063,0,0,2.2,107,10.0,146,618,False,163,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16,5.2,0,0.65,0.03,0.68,2.27,0,0,0,0,0,0,0,488,224,426,221,415,215,482,224,,,3.0,,,,0.66,0.0,0.03,0.69,2.3,2.02,182,108,618,235,533,250,516,192,0.0,0.0,10.635
True,False,100.0,100.0,199796,0,0,-1,1,0,2,6.0,0.0,1,346,0,32,False,174,324,44,173,2.8,False,120,1.6,False,,0,2,7,306407,0,452117,0,0,17.3,130,172.0,63,125,False,173,2069,1,1,7,22,0,0,0,7,0,0,2,286,359.2,181.0,171,71.3,24,0.48,1.23,1.71,28.64,0,0,0,0,0,0,0,202,74,221,52,204,43,228,73,,,,,,,0.02,0.0,0.05,0.07,1.25,0.96,510,92,263,172,166,49,157,61,1.04,0.3,77.62129887269595
True,False,0.0,0.0,151589,0,0,0,0,0,3,0.0,0.0,0,294,0,33,False,112,119,45,82,0.0,False,167,0.2,False,,4,2,7,18187,0,94027,0,0,0.0,184,,409,618,False,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,690,268,686,268,665,259,690,268,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,368,232,317,36,695,269,381,124,0.0,0.0,0.0
True,False,0.0,0.0,243557,0,0,0,0,0,3,0.0,0.0,0,366,0,34,False,120,9,65,322,0.0,False,172,0.0,False,,4,2,7,0,0,3420,0,0,0.0,190,,409,618,False,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,802,347,802,347,802,347,802,347,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,45,23,761,327,801,347,688,280,0.0,0.0,0.0
True,False,0.0,0.0,165659,0,0,0,0,0,2,0.0,0.0,0,119,0,35,False,173,245,45,104,2.1,False,597,0.3,False,,4,2,7,50956,0,95521,0,0,4.7,192,30.0,147,618,False,104,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54,21.5,8,0.64,0.08,0.72,11.88,0,0,0,0,0,0,0,350,127,469,163,333,109,394,135,,,,,,,0.07,0.0,0.01,0.08,1.29,1.63,370,57,319,191,269,87,316,122,0.87,0.22,20.83090909090909
True,False,,,101188,0,0,-1,1,2,2,2.7,0.0,0,307,0,36,False,174,603,44,22,2.8,False,175,5.6,False,,0,2,7,2217548,0,1914740,0,0,20.2,193,73.0,179,401,False,22,2348,0,5,6,36,0,0,0,4,0,0,7,383,512.6,583.9,112,120.7,28,0.8,3.97,4.77,34.94,0,0,0,0,0,0,0,138,49,57,9,262,73,112,22,2.0,,2.0,,,,0.03,0.0,0.15,0.18,1.34,1.38,498,84,251,164,165,48,67,22,1.07,0.23,90.85553720965136
True,False,0.0,0.0,461421,0,0,0,0,0,3,0.0,0.0,0,301,0,37,False,128,23,50,433,0.0,False,181,0.0,False,,4,2,7,0,0,298,0,0,0.0,200,,409,618,False,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,786,338,785,338,778,336,786,338,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,221,139,598,221,786,338,788,337,0.0,0.0,0.0
True,False,0.0,0.0,476344,0,0,-3,3,0,4,0.0,0.0,0,238,0,38,False,41,344,57,474,2.6,False,192,1.6,False,,4,2,7,1376643,0,1337176,0,0,9.3,210,48.0,301,618,False,474,622,7,0,2,14,0,0,0,3,1,0,9,222,273.8,68.9,334,67.5,4,5.11,0.24,5.35,9.94,0,0,0,0,0,0,0,256,23,337,35,102,30,241,29,,,,,,,0.74,0.0,0.03,0.77,1.44,2.03,99,26,711,62,200,24,156,23,0.58,0.29,54.541875939849625
True,False,0.0,0.0,462492,0,0,0,0,0,1,0.0,0.0,0,241,0,39,False,46,335,40,442,0.0,False,248,0.5,False,,4,2,7,63380,0,80126,0,0,0.0,265,13.0,5,618,False,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,611,67,598,56,557,37,611,67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,666,52,105,35,618,67,259,36,0.0,0.0,0.0
True,False,,,123354,0,0,-1,1,0,2,0.0,0.0,0,288,0,40,False,174,603,39,67,0.0,False,289,0.5,False,,0,2,7,62708,0,78002,0,0,0.0,307,241.0,17,318,False,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,576,196,556,194,508,177,576,196,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,743,241,40,12,586,197,256,99,0.0,0.0,0.0
